011155355;ПРОФЭЛЕКТРО, ООО;120
011133920;ЦЕНТР ИМ.ЦИМБАЛИНА В.В. МЕДИЦИН. И СОЦ. РЕАБ.ДЕТЕЙ СПБ ГУЗ;642
011156750;ИВАНОВСКАЯ МАРКА, ООО;10
011127979;ПЭ-АШ ФАКТОР, ООО;580
011166074;САНРАЙЗ ЭССЕТ МЕНЕДЖМЕНТ, ООО (они же САНЭКСПРЕССТРЭВЭЛ, ООО);325
011150449;СЕНДЕНИ, ООО;30
011123312;ЭМКО РУС, ООО  не рабочий (они же Хендэ Эмко Рус);5
011135477;ВАРИОГРАФ, ООО ( они же Полиматериалы-сервис);40
011139711;КОМПАНИЯ ЛОГИСТИЧЕСАЯ ПЕТЕРБУРГСКАЯ, ООО (они же Рэйлэкспедитор Компания транспортная Петербургская;1204
011166269;РОСГЕОТЕК, ООО;325
000010954;КОМПАНИЯ ЭТАЛОН, СТРОИТЕЛЬНАЯ, ООО(они же Эталон плюс);360
011199540;ТЕАТР ПРЕМЬЕРА МУЗЫКАЛЬНО-ДРАМАТИЧЕСКИЙ СПБ, ГБУ;195
011119923;РЕКОРД, ООО;260
011126882;РИЗОЛИТ САНКТ-ПЕТЕРБУРГ, ООО;30
011186363;ПРОИЗВОДСТВО КОНДИТЕРСКОЕ ПАТИССЬЕ, ООО (они же  КОНДИТЕРСКИЙ ДОМ ПАТИССЬЕ, ООО);3285
011145025;ЛЕКРУС, ЗАО(они же Айпара и Компания, ЗАО);3062
000016857;КРИСТАНВАЛЬ-КЛИНИНГ, ООО;405
011133804;АШАН,ООО ЭВРИКА;200
130000274;ХИРСИ.РУ, ООО(они же ГК ЭНДО);190
011141994;ЦЕНТР ЭКСПЕРТ, МЕДИЦИНСКИЙ, ООО;10
011163960;МАКСИТРЕЙД, ООО (они же Сигнал);430
011166036;СИ ДЭ, ООО (они же Финнеганс);195
011138103;ЭКО-БЕЗОПАСНОСТЬ, МЦ, ООО(они же Армада);1204
011129353;ЭКСТРАНЕОН, ООО (они же ВОЛШЕБНЫЙ СВЕТ,ООО);190
011187669;КОМБИНАТ СБОРНЫХ СТРОИТЕЛЬНЫХ КОНСТРУКЦИЙ, ОАО;510
011138650;ВЕСТ ЛОГИСТИК, ООО(они же КЭП ЛОГИСТИК, ООО);20
000037167;СЕТЬ СТОИК РЕКЛАМНАЯ , ООО (они же Акваметосинтез, ЗАО, Рекламное агентство);1838
011139963;М.СТРОЙ, ООО (они же Материк М);20
011143360;СПРС КО, ООО (они же Компания Петергофская Строительная);100
011124482;БРОКАР СПБ, ООО(они же Л этуаль, Антре Плюс,Алькор и Ко);438
011116056;ТУРБОСТРОЙИМПОРТ, ООО;308
011168670;БАЛТИКА-М, ООО(они жеКОМПЛЕКТ-СПБ, ООО,Финстайл, Прогресс-мастер);480
011115436;ПРОФЕССИОНАЛ, УЧРЕЖДЕНИЕ ЦПК;918
011166726;ПРОМО СТАНДАРТ, ООО;30
011128519;БАЛТ М КОМ, ООО;776
011156466;ЦЕНТР ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ РЕГИОНА БАЛТИЙСКОГО МОРЯ МЕЖД., УК АНО, ООО;680
011120161;КОМПАНИЯ ДИАМИДА, ЮВЕЛИРНАЯ, ООО (они же Диамида);2713
011152553;ТВОЯ МЕБЕЛЬ, ООО (они же Стройкомплект-Кухни, ООО);743
011127596;КОМПАНИЯ АВАНТИ, ООО (Аванти Джет Аванти Солина Модерн, Элика-трейдинг;472
011148980;ГРАДИ-ЭКСПО, ООО (они же дизайн экспо графический, ооо);1420
011153350;САРГАС СПБ, ООО;150
011115362;АГЕНТСТВО НАРВСКИЕ ВОРОТА СТРАХ. ПОСРЕДНИКОВ, ООО;1803
011139956;СТАФ ЛИЗИНГ СОЛЮШН, ООО (они же Арди Капитал);238
011130887;РАПИД, ООО;160
000036964;КОМИТЕТ ПО ВНЕШНИМ СВЯЗЯМ  САНКТ-ПЕТЕРБУРГА;1085
011121592;МПК- ИНВЕСТ, ООО;50
011204023;АЛЬФА, ООО;90
011176523;ВАЙТ, ЗАО;494
011160060;ПРАКТИКА ДОКТОРА БАРАНОВА;10
011123750;МИФНС РОССИИ №24 ПО СПБ;1825
011124073;КОМПАНИЯ СЕТЕВАЯ РАСПРЕДЕЛИТЕЛЬНАЯ МЕЖРЕГИОНАЛЬНАЯ, ОАО (МРСК);4592
000035684;КОМИТЕТ ЖИЛИЩНЫЙ  СПБ;8100
011203893;МЕДКЛАБ 77, ООО;160
011112417;КАСТОМС ЛОГИСТИК, ООО;90
011133197;ОРГАНИЗАЦИЯ НОРДПОИНТ СЕКЬЮРИТИ, ЧАСТНАЯ ОХРАННАЯ, ООО(они же Организ. Техносервис Пан секьюрити);220
011154280;ВЕСТА, ООО;105
011175146;ПЕРВЫЙ ДОМ КЛИНИНГА, ООО;53
011168494;СОЮЗ-АВТО,ООО(они же КАПИТАЛ-АВТО, ООО они же ТрансРесурс);450
011148336;МАКС-ТРАК, ООО( они же Драйвер Трактрейлерторг Трак-Альянс);80
011125276;ОМЗ-СПЕЦСТАЛЬ, ООО;6735
011131794;СМПС, ООО ( они же Свитязь, Смидын);320
011124161;РЕГИОНПРОЕКТ, ООО;1155
011123480;ИНТЕРЬЕР, ООО;180
011117057;БАЛТХИМ, ООО;350
011140086;ЛЕНОБЛГАЗ, ОАО ФИЛИАЛ КИНГИСЕППМЕЖРАЙГАЗ;460
011120379;БЛИЦ АУДИТ, ООО;170
011120654;АБСОЛЮТ ТРАНС ПЛЮС, ООО( они же Абсолют транс,ООО);388
011145135;РИШАР, ООО;10
011120278;КОМПАНИЯ ПАРНАС-АПК, УПРАВЛЯЮЩАЯ, ООО (они же Развитие Парнас-Нива, ТД Парнас-Агро));633
011128339;АРНО-СПБ, ООО;330
011118286;ВОДСИСТЕМА, ООО( они же ВС АВТО, ООО);558
011166851;АВРОРА Хоспиталити Груп, ООО;200
000037520;СТИЛЕС, ЗАО (они же Рист-Сервис);7970
011168650;СОВРЕМЕННЫЕ ТЕХНОЛОГИИ, ООО;75
011115252;ДОСТАВКА-СЕРВИС, ООО ( они же Васаби);108
011134261;ЭГИР, ООО;70
011166511;ГИМНАЗИЯ №330 НЕВСКОГО Р-НА СПБ, ГБОУ;720
011135984;ТЕЛЕКОМ СЕВЕРО-ЗАПАДНЫЙ, ОАО ( ВЕЛИКИЙ НОВГОРОД) (они же Ростелеком, террит.управление ...);2040
011149670;СУД ДЕВЯТЫЙ АРБИТРАЖНЫЙ АПЕЛЛЯЦИОННЫЙ;10
011113858;ВТОРИЧНЫЕ РЕСУРСЫ, ООО (они же Альфа);340
